UserID,Moon (Kanye West),87 Stingray (Tory Lanez),@Meh (Playboi Carti),Ice Cream (Mavo),Lo Siento BB:/ (Tainy),I Know Who I Be (Davido),Billie Jean (Michael Jackson),How Far (NO 11),family ties (Baby Keem w/ Kendrick Lamar),Me & U (Tems),Wake up (Lil Tecca),Fireworks (Katy Perry),Escort (Chase Atlantic),The Beach (The Neighborhood),Breaking Dishes (Rihanna)
U001,5,5,4,3,,3,,,,,5,,0,,1
U002,,4,,4,,,,3,5,2,5,,,0,2
U003,4,4,5,3,4,,,,5,,5,,,1,0
U004,5,,5,2,3,2,,2,4,3,5,,0,1,0
U005,5,5,4,4,,2,2,3,,,4,0,,,
U006,5,5,4,2,4,2,1,4,5,,5,,,,1
U007,5,4,4,3,3,,,2,5,,5,1,,2,
U008,4,,4,5,5,5,2,4,,5,2,0,0,,1
U009,,4,4,4,5,4,1,5,3,5,4,1,,,0
U010,4,2,4,4,5,4,0,,4,4,3,2,,,2
U011,4,2,2,4,4,,,4,4,5,2,,,,1
U012,2,2,4,5,5,,0,5,4,5,3,,,0,
U013,3,,,4,4,5,0,4,3,5,2,,2,,
U014,,,4,5,5,5,2,5,2,5,,,0,0,0
U015,0,,0,,2,3,5,2,2,2,,5,5,4,4
U016,,,,4,2,4,5,4,,3,,5,5,5,5
U017,,2,0,2,2,2,4,4,,3,2,5,4,5,4
U018,2,,0,2,3,4,4,2,,,1,5,4,5,
U019,1,0,,,,3,,4,2,2,0,5,5,4,5
U020,,,0,,3,2,5,4,1,2,,,5,5,5
U021,,2,,,,,5,2,1,3,0,4,,5,5
U022,5,4,,3,,4,3,,5,3,,1,2,,1
U023,5,4,,4,,4,2,,5,3,,1,2,,1
U024,5,4,,3,,4,2,,5,3,,0,2,,2
U025,5,4,,3,,5,2,,5,3,,1,2,,0
U026,5,5,,3,,4,2,,5,3,,0,2,,1
U027,4,2,2,4,3,2,2,4,2,3,4,2,4,2,2
U028,3,4,4,3,3,3,3,3,4,4,3,2,,2,3
U029,3,3,3,4,4,4,4,3,2,3,2,4,3,4,3
U030,3,2,3,2,3,,4,4,4,4,2,4,4,4,4
U031,,,,1,,,,,,,,,0,,5
U032,0,1,,3,,,,,,,,,,,
U033,0,2,4,3,5,5,1,3,5,1,4,1,5,,2
U034,0,0,5,1,5,3,0,0,4,,0,3,1,2,0
U035,,,2,2,4,5,4,0,0,4,5,4,5,5,3
